Source,Target,Type,Id,Label,Weight
S5034,B1743,Undirected,0,,7
S5034,G1026,Undirected,1,,8
S5034,G1024,Undirected,2,,7
S5034,G1055,Undirected,3,,7
S5034,S5030,Undirected,4,,7
S5034,N6007,Undirected,5,,8
S5034,S5028,Undirected,6,,11
S5034,M1203,Undirected,7,,12
S5034,G1067,Undirected,8,,7
S5034,V9021,Undirected,9,,9
S5034,B1741,Undirected,10,,7
S5034,N6008,Undirected,11,,10
S5034,B1794,Undirected,12,,9
S5034,M1201,Undirected,13,,11
S5034,V9023,Undirected,14,,10
S5034,S5013,Undirected,15,,8
S5034,S5021,Undirected,16,,9
S5034,S5001,Undirected,17,,6
S5034,G1028,Undirected,18,,9
S5034,B1730,Undirected,19,,8
S5034,S5035,Undirected,20,,12
S5034,V9020,Undirected,21,,9
S5034,M1208,Undirected,22,,12
S5034,B1785,Undirected,23,,8
S5034,S5033,Undirected,24,,10
S5034,B1733,Undirected,25,,10
S5034,G1023,Undirected,26,,8
S5034,B1781,Undirected,27,,9
S5034,V9024,Undirected,28,,12
S5034,G1031,Undirected,29,,6
S5034,V9003,Undirected,30,,7
S5034,S5037,Undirected,31,,7
S5034,B1791,Undirected,32,,6
S5034,S5010,Undirected,33,,7
S5034,G1025,Undirected,34,,8
S5034,S5044,Undirected,35,,10
S5034,S5003,Undirected,36,,9
S5034,B1784,Undirected,37,,10
S5034,S5045,Undirected,38,,9
S5034,S5043,Undirected,39,,5
S5034,B1777,Undirected,40,,12
S5034,S5024,Undirected,41,,7
S5034,G1032,Undirected,42,,11
S5034,N6004,Undirected,43,,8
S5034,B1780,Undirected,44,,10
S5034,B1782,Undirected,45,,14
S5034,S5041,Undirected,46,,9
S5034,G1019,Undirected,47,,8
S5034,S5016,Undirected,48,,7
S5034,V9013,Undirected,49,,9
S5034,B1786,Undirected,50,,6
S5034,B1792,Undirected,51,,10
S5034,S5009,Undirected,52,,9
S5034,B1776,Undirected,53,,11
S5034,G1033,Undirected,54,,5
S5034,B1727,Undirected,55,,16
S5034,V9008,Undirected,56,,9
S5034,M1207,Undirected,57,,9
S5034,G1068,Undirected,58,,6
S5034,V9010,Undirected,59,,13
S5034,S5005,Undirected,60,,10
S5034,S5006,Undirected,61,,9
S5034,S5050,Undirected,62,,9
S5034,B1779,Undirected,63,,8
S5034,G1062,Undirected,64,,5
S5034,G1056,Undirected,65,,6
S5034,M1204,Undirected,66,,4
S5034,S5046,Undirected,67,,7
S5034,G1029,Undirected,68,,8
S5034,V9018,Undirected,69,,11
S5034,G1034,Undirected,70,,16
S5034,V9025,Undirected,71,,2
S5034,S5002,Undirected,72,,5
S5034,G1060,Undirected,73,,10
S5034,S5036,Undirected,74,,9
S5034,B1729,Undirected,75,,15
S5034,G1022,Undirected,76,,7
S5034,B1731,Undirected,77,,13
S5034,N6005,Undirected,78,,9
S5034,B1783,Undirected,79,,11
S5034,V9006,Undirected,80,,13
S5034,V9004,Undirected,81,,14
S5034,V9009,Undirected,82,,9
S5034,V9005,Undirected,83,,11
S5034,B1728,Undirected,84,,10
S5034,M1202,Undirected,85,,6
S5034,G1058,Undirected,86,,5
S5034,V9017,Undirected,87,,6
S5034,G1053,Undirected,88,,8
S5034,M1206,Undirected,89,,11
S5034,V9027,Undirected,90,,13
S5034,G1018,Undirected,91,,8
S5034,G1054,Undirected,92,,8
S5034,S5017,Undirected,93,,3
S5034,S5007,Undirected,94,,9
S5034,G1059,Undirected,95,,7
S5034,B1789,Undirected,96,,11
S5034,S5019,Undirected,97,,4
S5034,N6002,Undirected,98,,12
S5034,N6006,Undirected,99,,14
S5034,M1205,Undirected,100,,9
S5034,G1020,Undirected,101,,4
S5034,B1735,Undirected,102,,11
S5034,S5015,Undirected,103,,13
S5034,V9007,Undirected,104,,6
S5034,B1793,Undirected,105,,7
S5034,S5027,Undirected,106,,12
S5034,B1736,Undirected,107,,9
S5034,G1052,Undirected,108,,7
S5034,V9011,Undirected,109,,9
S5034,G1057,Undirected,110,,6
S5034,V9001,Undirected,111,,9
S5034,G1066,Undirected,112,,11
S5034,G1061,Undirected,113,,8
S5034,N6001,Undirected,114,,16
